geo,country_name,time,sex,age,indicator_code,indicator_label,value,unit,data_suppressed,source_dataset
SK,Slovakia,2019,F,Y15-24,MV_AERO_SPRT,Aerobic sports,48.9,PC,False,hlth_ehis_pe3
TR,Türkiye,2014,F,Y15-24,MV_AERO_SPRT,Aerobic sports,6.6,PC,False,hlth_ehis_pe3
TR,Türkiye,2019,F,Y15-24,MV_AERO_SPRT,Aerobic sports,8.5,PC,False,hlth_ehis_pe3
UK,United Kingdom,2014,F,Y15-24,MV_AERO_SPRT,Aerobic sports,61.6,PC,False,hlth_ehis_pe3
AT,Austria,2019,F,Y15-29,MV_AERO_SPRT,Aerobic sports,74.8,PC,False,hlth_ehis_pe3
BE,Belgium,2019,F,Y15-29,MV_AERO_SPRT,Aerobic sports,57.3,PC,False,hlth_ehis_pe3
BG,Bulgaria,2019,F,Y15-29,MV_AERO_SPRT,Aerobic sports,24.3,PC,False,hlth_ehis_pe3
CY,Cyprus,2019,F,Y15-29,MV_AERO_SPRT,Aerobic sports,33.1,PC,False,hlth_ehis_pe3
CZ,Czechia,2019,F,Y15-29,MV_AERO_SPRT,Aerobic sports,53.2,PC,False,hlth_ehis_pe3
DE,Germany,2019,F,Y15-29,MV_AERO_SPRT,Aerobic sports,82.4,PC,False,hlth_ehis_pe3
DK,Denmark,2019,F,Y15-29,MV_AERO_SPRT,Aerobic sports,82.5,PC,False,hlth_ehis_pe3
EE,Estonia,2019,F,Y15-29,MV_AERO_SPRT,Aerobic sports,60.8,PC,False,hlth_ehis_pe3
EL,Greece,2019,F,Y15-29,MV_AERO_SPRT,Aerobic sports,48.4,PC,False,hlth_ehis_pe3
ES,Spain,2019,F,Y15-29,MV_AERO_SPRT,Aerobic sports,56.2,PC,False,hlth_ehis_pe3
EU27_2020,European Union - 27 countries (from 2020),2014,F,Y15-29,MV_AERO_SPRT,Aerobic sports,53.3,PC,False,hlth_ehis_pe3
EU27_2020,European Union - 27 countries (from 2020),2019,F,Y15-29,MV_AERO_SPRT,Aerobic sports,57.0,PC,False,hlth_ehis_pe3
FR,France,2019,F,Y15-29,MV_AERO_SPRT,Aerobic sports,56.8,PC,False,hlth_ehis_pe3
HR,Croatia,2019,F,Y15-29,MV_AERO_SPRT,Aerobic sports,46.8,PC,False,hlth_ehis_pe3
HU,Hungary,2019,F,Y15-29,MV_AERO_SPRT,Aerobic sports,54.7,PC,False,hlth_ehis_pe3
IE,Ireland,2019,F,Y15-29,MV_AERO_SPRT,Aerobic sports,63.8,PC,False,hlth_ehis_pe3
IS,Iceland,2019,F,Y15-29,MV_AERO_SPRT,Aerobic sports,83.1,PC,False,hlth_ehis_pe3
IT,Italy,2019,F,Y15-29,MV_AERO_SPRT,Aerobic sports,40.4,PC,False,hlth_ehis_pe3
LT,Lithuania,2019,F,Y15-29,MV_AERO_SPRT,Aerobic sports,46.0,PC,False,hlth_ehis_pe3
LU,Luxembourg,2019,F,Y15-29,MV_AERO_SPRT,Aerobic sports,75.6,PC,False,hlth_ehis_pe3
LV,Latvia,2019,F,Y15-29,MV_AERO_SPRT,Aerobic sports,56.5,PC,False,hlth_ehis_pe3
MT,Malta,2019,F,Y15-29,MV_AERO_SPRT,Aerobic sports,37.0,PC,False,hlth_ehis_pe3
NL,Netherlands,2019,F,Y15-29,MV_AERO_SPRT,Aerobic sports,67.9,PC,False,hlth_ehis_pe3
NO,Norway,2019,F,Y15-29,MV_AERO_SPRT,Aerobic sports,85.3,PC,False,hlth_ehis_pe3
PL,Poland,2019,F,Y15-29,MV_AERO_SPRT,Aerobic sports,37.3,PC,False,hlth_ehis_pe3
PT,Portugal,2019,F,Y15-29,MV_AERO_SPRT,Aerobic sports,47.1,PC,False,hlth_ehis_pe3
RO,Romania,2019,F,Y15-29,MV_AERO_SPRT,Aerobic sports,11.8,PC,False,hlth_ehis_pe3
RS,Serbia,2019,F,Y15-29,MV_AERO_SPRT,Aerobic sports,25.4,PC,False,hlth_ehis_pe3
SE,Sweden,2019,F,Y15-29,MV_AERO_SPRT,Aerobic sports,81.1,PC,False,hlth_ehis_pe3
SI,Slovenia,2019,F,Y15-29,MV_AERO_SPRT,Aerobic sports,77.1,PC,False,hlth_ehis_pe3
SK,Slovakia,2019,F,Y15-29,MV_AERO_SPRT,Aerobic sports,41.6,PC,False,hlth_ehis_pe3
TR,Türkiye,2019,F,Y15-29,MV_AERO_SPRT,Aerobic sports,7.6,PC,False,hlth_ehis_pe3
AT,Austria,2014,F,Y15-64,MV_AERO_SPRT,Aerobic sports,74.2,PC,False,hlth_ehis_pe3
AT,Austria,2019,F,Y15-64,MV_AERO_SPRT,Aerobic sports,67.9,PC,False,hlth_ehis_pe3
BE,Belgium,2014,F,Y15-64,MV_AERO_SPRT,Aerobic sports,49.2,PC,False,hlth_ehis_pe3
BE,Belgium,2019,F,Y15-64,MV_AERO_SPRT,Aerobic sports,44.3,PC,False,hlth_ehis_pe3
BG,Bulgaria,2014,F,Y15-64,MV_AERO_SPRT,Aerobic sports,9.7,PC,False,hlth_ehis_pe3
BG,Bulgaria,2019,F,Y15-64,MV_AERO_SPRT,Aerobic sports,12.6,PC,False,hlth_ehis_pe3
